params,rez_1,rez_0,proc
"(1, 8)",70,108,0.6067415730337079
"(1, 9)",75,106,0.585635359116022
"(1, 10)",63,68,0.5190839694656488
"(1, 12)",93,108,0.5373134328358209
"(1, 15)",63,79,0.5563380281690141
"(2, 3)",38,76,0.6666666666666666
"(2, 8)",42,73,0.6347826086956522
"(2, 10)",40,55,0.5789473684210527
"(2, 12)",72,108,0.6
"(2, 15)",34,59,0.6344086021505376
"(3, 12)",53,71,0.5725806451612904
"(3, 15)",50,78,0.609375
"(4, 12)",81,100,0.5524861878453039
"(4, 14)",71,85,0.5448717948717948
"(4, 15)",55,86,0.6099290780141844
"(8, 11)",69,99,0.5892857142857143
"(8, 12)",60,100,0.625
"(8, 15)",47,77,0.6209677419354839
"(9, 12)",79,107,0.5752688172043011
"(10, 12)",67,80,0.54421768707483
"(11, 12)",76,99,0.5657142857142857
"(11, 15)",43,67,0.6090909090909091
"(12, 14)",68,87,0.5612903225806452
"(12, 15)",72,89,0.5527950310559007
"(14, 15)",46,71,0.6068376068376068
"(0, 1, 2)",17,29,0.6304347826086957
"(0, 1, 8)",27,36,0.5714285714285714
"(0, 1, 9)",27,33,0.55
"(0, 1, 12)",35,28,0.4444444444444444
"(0, 1, 15)",26,35,0.5737704918032787
"(0, 2, 12)",21,31,0.5961538461538461
"(0, 8, 11)",16,29,0.6444444444444445
"(0, 8, 12)",19,29,0.6041666666666666
"(0, 8, 15)",17,25,0.5952380952380952
"(0, 9, 12)",31,47,0.6025641025641025
"(0, 11, 12)",22,28,0.56
"(0, 11, 15)",17,26,0.6046511627906976
"(0, 12, 15)",22,26,0.5416666666666666
"(1, 2, 8)",19,33,0.6346153846153846
"(1, 2, 10)",15,17,0.53125
"(1, 2, 12)",35,36,0.5070422535211268
"(1, 2, 15)",18,21,0.5384615384615384
"(1, 8, 11)",32,45,0.5844155844155844
"(1, 8, 12)",28,39,0.582089552238806
"(1, 8, 15)",27,36,0.5714285714285714
"(1, 9, 12)",35,48,0.5783132530120482
"(1, 10, 12)",31,30,0.4918032786885246
"(1, 11, 12)",28,33,0.5409836065573771
"(1, 11, 15)",15,27,0.6428571428571429
"(1, 12, 15)",40,34,0.4594594594594595
"(2, 3, 12)",15,27,0.6428571428571429
"(2, 3, 15)",6,16,0.7272727272727273
"(2, 8, 12)",17,33,0.66
"(2, 8, 15)",12,13,0.52
"(2, 10, 12)",18,17,0.4857142857142857
"(2, 12, 15)",22,22,0.5
"(3, 12, 15)",15,23,0.6052631578947368
"(4, 12, 14)",24,25,0.5102040816326531
"(4, 12, 15)",27,29,0.5178571428571429
"(4, 14, 15)",19,24,0.5581395348837209
"(8, 11, 12)",23,43,0.6515151515151515
"(8, 11, 15)",15,34,0.6938775510204082
"(8, 12, 15)",19,27,0.5869565217391305
"(11, 12, 15)",20,24,0.5454545454545454
"(12, 14, 15)",21,23,0.5227272727272727
"(0, 1, 2, 12)",9,8,0.47058823529411764
"(0, 1, 8, 11)",12,11,0.4782608695652174
"(0, 1, 8, 12)",12,9,0.42857142857142855
"(0, 1, 8, 15)",11,14,0.56
"(0, 1, 9, 12)",13,13,0.5
"(0, 1, 11, 12)",9,5,0.35714285714285715
"(0, 1, 11, 15)",7,14,0.6666666666666666
"(0, 1, 12, 15)",12,10,0.45454545454545453
"(0, 8, 11, 12)",5,9,0.6428571428571429
"(0, 8, 11, 15)",5,11,0.6875
"(0, 8, 12, 15)",6,3,0.3333333333333333
"(0, 11, 12, 15)",6,10,0.625
"(1, 2, 8, 12)",6,12,0.6666666666666666
"(1, 2, 8, 15)",6,9,0.6
"(1, 2, 10, 12)",6,4,0.4
"(1, 2, 12, 15)",13,9,0.4090909090909091
"(1, 8, 11, 12)",11,11,0.5
"(1, 8, 11, 15)",7,13,0.65
"(1, 8, 12, 15)",12,9,0.42857142857142855
"(1, 11, 12, 15)",8,9,0.5294117647058824
"(2, 3, 12, 15)",3,10,0.7692307692307693
"(2, 8, 12, 15)",6,6,0.5
"(4, 12, 14, 15)",8,8,0.5
"(8, 11, 12, 15)",6,8,0.5714285714285714
"(0, 1, 8, 11, 12)",4,1,0.2
"(0, 1, 8, 11, 15)",4,8,0.6666666666666666
"(0, 1, 8, 12, 15)",5,1,0.16666666666666666
"(0, 1, 11, 12, 15)",3,5,0.625
"(0, 8, 11, 12, 15)",3,2,0.4
"(1, 2, 8, 12, 15)",3,3,0.5
"(1, 8, 11, 12, 15)",4,3,0.42857142857142855
"(0, 1, 8, 11, 12, 15)",3,1,0.25
"(1, 6)",68,89,0.5668789808917197
"(2, 5)",48,76,0.6129032258064516
"(2, 6)",52,65,0.5555555555555556
"(2, 9)",61,93,0.6038961038961039
"(3, 5)",63,74,0.5401459854014599
"(3, 9)",57,89,0.6095890410958904
"(5, 15)",51,73,0.5887096774193549
"(6, 10)",57,64,0.5289256198347108
"(8, 9)",56,91,0.6190476190476191
"(9, 15)",52,97,0.6510067114093959
"(0, 2, 5)",16,34,0.68
"(1, 2, 5)",23,24,0.5106382978723404
"(1, 2, 6)",23,31,0.5740740740740741
"(1, 2, 9)",24,21,0.4666666666666667
"(1, 6, 10)",20,21,0.5121951219512195
"(1, 8, 9)",25,43,0.6323529411764706
"(1, 9, 15)",21,28,0.5714285714285714
"(2, 3, 5)",12,21,0.6363636363636364
"(2, 3, 9)",11,28,0.717948717948718
"(2, 5, 9)",18,29,0.6170212765957447
"(2, 5, 15)",9,11,0.55
"(2, 6, 10)",13,11,0.4583333333333333
"(2, 8, 9)",20,28,0.5833333333333334
"(2, 9, 15)",12,18,0.6
"(3, 5, 9)",24,28,0.5384615384615384
"(3, 5, 15)",16,20,0.5555555555555556
"(3, 9, 15)",14,27,0.6585365853658537
"(5, 9, 15)",19,25,0.5681818181818182
"(8, 9, 15)",17,38,0.6909090909090909
"(0, 1, 2, 5)",8,10,0.5555555555555556
"(1, 2, 6, 10)",7,5,0.4166666666666667
"(1, 2, 8, 9)",8,7,0.4666666666666667
"(1, 2, 9, 15)",6,2,0.25
"(1, 8, 9, 15)",6,14,0.7
"(2, 3, 5, 9)",6,9,0.6
"(2, 3, 5, 15)",2,4,0.6666666666666666
"(2, 3, 9, 15)",1,4,0.8
"(2, 5, 9, 15)",3,3,0.5
"(2, 8, 9, 15)",5,1,0.16666666666666666
"(3, 5, 9, 15)",8,6,0.42857142857142855
"(1, 2, 8, 9, 15)",2,0,0.0
"(2, 3, 5, 9, 15)",1,1,0.5
"(0, 3)",54,69,0.5609756097560976
"(1, 3)",62,86,0.581081081081081
"(4, 10)",68,81,0.5436241610738255
"(0, 1, 3)",22,31,0.5849056603773585
"(0, 3, 12)",21,22,0.5116279069767442
"(1, 3, 12)",27,26,0.49056603773584906
"(2, 9, 12)",30,38,0.5588235294117647
"(4, 10, 12)",37,30,0.44776119402985076
"(4, 10, 14)",19,13,0.40625
"(10, 12, 14)",18,13,0.41935483870967744
"(0, 1, 3, 12)",8,6,0.42857142857142855
"(1, 2, 9, 12)",13,6,0.3157894736842105
"(4, 10, 12, 14)",5,4,0.4444444444444444
"(0, 4)",70,92,0.5679012345679012
"(0, 7)",52,85,0.6204379562043796
"(1, 4)",72,93,0.5636363636363636
"(1, 7)",63,91,0.5909090909090909
"(2, 4)",56,89,0.6137931034482759
"(2, 7)",33,60,0.6451612903225806
"(2, 13)",51,69,0.575
"(4, 5)",65,98,0.6012269938650306
"(4, 6)",67,91,0.5759493670886076
"(4, 7)",55,77,0.5833333333333334
"(4, 13)",83,95,0.5337078651685393
"(5, 12)",70,98,0.5833333333333334
"(6, 7)",46,70,0.603448275862069
"(6, 12)",87,100,0.5347593582887701
"(7, 10)",52,67,0.5630252100840336
"(7, 12)",59,96,0.6193548387096774
"(7, 13)",56,81,0.5912408759124088
"(7, 15)",46,71,0.6068376068376068
"(10, 15)",40,61,0.6039603960396039
"(12, 13)",77,87,0.5304878048780488
"(13, 15)",46,72,0.6101694915254238
"(0, 1, 4)",21,29,0.58
"(0, 1, 7)",16,37,0.6981132075471698
"(0, 2, 4)",22,32,0.5925925925925926
"(0, 2, 13)",12,25,0.6756756756756757
"(0, 4, 5)",20,25,0.5555555555555556
"(0, 4, 12)",27,28,0.509090909090909
"(0, 4, 13)",17,26,0.6046511627906976
"(0, 5, 12)",32,38,0.5428571428571428
"(0, 7, 9)",18,43,0.7049180327868853
"(0, 7, 12)",21,32,0.6037735849056604
"(0, 12, 13)",23,23,0.5
"(1, 2, 4)",15,25,0.625
"(1, 2, 7)",13,24,0.6486486486486487
"(1, 2, 13)",17,22,0.5641025641025641
"(1, 4, 5)",27,22,0.4489795918367347
"(1, 4, 6)",24,30,0.5555555555555556
"(1, 4, 7)",19,28,0.5957446808510638
"(1, 4, 12)",31,34,0.5230769230769231
"(1, 4, 13)",25,29,0.5370370370370371
"(1, 4, 15)",22,30,0.5769230769230769
"(1, 5, 12)",37,30,0.44776119402985076
"(1, 6, 7)",18,31,0.6326530612244898
"(1, 6, 12)",40,34,0.4594594594594595
"(1, 6, 13)",22,31,0.5849056603773585
"(1, 7, 9)",22,29,0.5686274509803921
"(1, 7, 12)",27,29,0.5178571428571429
"(1, 7, 13)",19,26,0.5777777777777777
"(1, 7, 15)",14,26,0.65
"(1, 12, 13)",28,28,0.5
"(1, 13, 15)",15,32,0.6808510638297872
"(2, 3, 13)",10,13,0.5652173913043478
"(2, 4, 5)",16,29,0.6444444444444445
"(2, 4, 6)",12,27,0.6923076923076923
"(2, 4, 7)",15,27,0.6428571428571429
"(2, 4, 12)",29,32,0.5245901639344263
"(2, 4, 13)",23,23,0.5
"(2, 4, 15)",17,23,0.575
"(2, 5, 7)",11,24,0.6857142857142857
"(2, 5, 12)",23,36,0.6101694915254238
"(2, 5, 13)",14,24,0.631578947368421
"(2, 6, 7)",8,18,0.6923076923076923
"(2, 6, 12)",27,31,0.5344827586206896
"(2, 6, 13)",13,21,0.6176470588235294
"(2, 7, 12)",9,22,0.7096774193548387
"(2, 7, 13)",10,18,0.6428571428571429
"(2, 7, 15)",5,9,0.6428571428571429
"(2, 12, 13)",18,29,0.6170212765957447
"(2, 13, 15)",11,14,0.56
"(3, 5, 12)",27,24,0.47058823529411764
"(3, 5, 13)",19,14,0.42424242424242425
"(3, 12, 13)",23,19,0.4523809523809524
"(3, 13, 15)",14,18,0.5625
"(4, 5, 12)",28,29,0.5087719298245614
"(4, 5, 13)",23,26,0.5306122448979592
"(4, 6, 7)",14,32,0.6956521739130435
"(4, 6, 12)",32,39,0.5492957746478874
"(4, 6, 13)",24,26,0.52
"(4, 7, 12)",20,33,0.6226415094339622
"(4, 7, 13)",23,26,0.5306122448979592
"(4, 12, 13)",38,30,0.4411764705882353
"(4, 13, 15)",18,26,0.5909090909090909
"(5, 7, 12)",19,42,0.6885245901639344
"(5, 7, 13)",22,27,0.5510204081632653
"(5, 12, 13)",21,27,0.5625
"(5, 12, 15)",23,31,0.5740740740740741
"(5, 13, 15)",17,17,0.5
"(6, 7, 12)",20,25,0.5555555555555556
"(6, 7, 13)",13,21,0.6176470588235294
"(6, 12, 13)",27,21,0.4375
"(7, 9, 12)",25,49,0.6621621621621622
"(7, 10, 12)",21,34,0.6181818181818182
"(7, 10, 15)",10,16,0.6153846153846154
"(7, 12, 13)",21,24,0.5333333333333333
"(7, 12, 15)",19,29,0.6041666666666666
"(7, 13, 15)",14,18,0.5625
"(10, 12, 15)",19,24,0.5581395348837209
"(12, 13, 15)",23,24,0.5106382978723404
"(0, 1, 2, 4)",8,10,0.5555555555555556
"(0, 1, 2, 13)",0,9,1.0
"(0, 1, 4, 5)",5,3,0.375
"(0, 1, 4, 12)",12,9,0.42857142857142855
"(0, 1, 4, 13)",4,6,0.6
"(0, 1, 5, 12)",13,10,0.43478260869565216
"(0, 1, 7, 9)",5,13,0.7222222222222222
"(0, 1, 7, 12)",5,8,0.6153846153846154
"(0, 1, 12, 13)",7,7,0.5
"(0, 2, 4, 5)",7,12,0.631578947368421
"(0, 2, 4, 12)",12,10,0.45454545454545453
"(0, 2, 4, 13)",7,5,0.4166666666666667
"(0, 2, 5, 12)",7,14,0.6666666666666666
"(0, 2, 5, 13)",2,11,0.8461538461538461
"(0, 2, 12, 13)",5,11,0.6875
"(0, 4, 5, 12)",9,6,0.4
"(0, 4, 5, 13)",4,5,0.5555555555555556
"(0, 4, 12, 13)",7,7,0.5
"(0, 5, 12, 13)",8,12,0.6
"(0, 7, 9, 12)",9,23,0.71875
"(1, 2, 4, 5)",4,5,0.5555555555555556
"(1, 2, 4, 6)",3,13,0.8125
"(1, 2, 4, 7)",4,10,0.7142857142857143
"(1, 2, 4, 12)",12,11,0.4782608695652174
"(1, 2, 4, 13)",5,6,0.5454545454545454
"(1, 2, 4, 15)",7,10,0.5882352941176471
"(1, 2, 5, 12)",11,9,0.45
"(1, 2, 5, 13)",4,7,0.6363636363636364
"(1, 2, 6, 7)",3,8,0.7272727272727273
"(1, 2, 6, 12)",13,10,0.43478260869565216
"(1, 2, 6, 13)",5,8,0.6153846153846154
"(1, 2, 7, 12)",5,7,0.5833333333333334
"(1, 2, 7, 13)",3,8,0.7272727272727273
"(1, 2, 12, 13)",7,10,0.5882352941176471
"(1, 2, 13, 15)",2,5,0.7142857142857143
"(1, 4, 5, 12)",11,6,0.35294117647058826
"(1, 4, 5, 13)",9,6,0.4
"(1, 4, 6, 7)",6,13,0.6842105263157895
"(1, 4, 6, 12)",9,11,0.55
"(1, 4, 6, 13)",9,7,0.4375
"(1, 4, 7, 12)",7,9,0.5625
"(1, 4, 7, 13)",8,6,0.42857142857142855
"(1, 4, 12, 13)",10,8,0.4444444444444444
"(1, 4, 12, 15)",13,9,0.4090909090909091
"(1, 4, 13, 15)",7,8,0.5333333333333333
"(1, 5, 12, 13)",5,7,0.5833333333333334
"(1, 6, 7, 12)",7,8,0.5333333333333333
"(1, 6, 7, 13)",2,7,0.7777777777777778
"(1, 6, 12, 13)",9,6,0.4
"(1, 7, 9, 12)",7,10,0.5882352941176471
"(1, 7, 12, 13)",4,6,0.6
"(1, 7, 12, 15)",8,6,0.42857142857142855
"(1, 12, 13, 15)",6,9,0.6
"(2, 3, 5, 12)",6,8,0.5714285714285714
"(2, 3, 5, 13)",3,3,0.5
"(2, 3, 12, 13)",4,6,0.6
"(2, 3, 13, 15)",2,4,0.6666666666666666
"(2, 4, 5, 12)",8,9,0.5294117647058824
"(2, 4, 5, 13)",7,5,0.4166666666666667
"(2, 4, 6, 7)",1,9,0.9
"(2, 4, 6, 12)",5,10,0.6666666666666666
"(2, 4, 6, 13)",3,7,0.7
"(2, 4, 7, 12)",3,9,0.75
"(2, 4, 7, 13)",5,6,0.5454545454545454
"(2, 4, 12, 13)",9,8,0.47058823529411764
"(2, 4, 12, 15)",11,5,0.3125
"(2, 4, 13, 15)",5,4,0.4444444444444444
"(2, 5, 7, 12)",2,11,0.8461538461538461
"(2, 5, 7, 13)",4,8,0.6666666666666666
"(2, 5, 12, 13)",5,11,0.6875
"(2, 5, 12, 15)",6,7,0.5384615384615384
"(2, 5, 13, 15)",2,4,0.6666666666666666
"(2, 6, 7, 12)",4,6,0.6
"(2, 6, 7, 13)",1,4,0.8
"(2, 6, 12, 13)",4,7,0.6363636363636364
"(2, 7, 12, 13)",2,7,0.7777777777777778
"(2, 7, 12, 15)",3,3,0.5
"(2, 7, 13, 15)",1,2,0.6666666666666666
"(2, 12, 13, 15)",8,8,0.5
"(3, 5, 12, 13)",7,3,0.3
"(3, 5, 12, 15)",5,8,0.6153846153846154
"(3, 5, 13, 15)",4,1,0.2
"(3, 12, 13, 15)",4,8,0.6666666666666666
"(4, 5, 12, 13)",6,4,0.4
"(4, 6, 7, 12)",4,8,0.6666666666666666
"(4, 6, 7, 13)",4,8,0.6666666666666666
"(4, 6, 12, 13)",13,10,0.43478260869565216
"(4, 7, 12, 13)",5,7,0.5833333333333334
"(4, 12, 13, 15)",8,10,0.5555555555555556
"(5, 7, 12, 13)",5,9,0.6428571428571429
"(5, 12, 13, 15)",3,5,0.625
"(6, 7, 12, 13)",2,4,0.6666666666666666
"(7, 10, 12, 15)",4,9,0.6923076923076923
"(7, 12, 13, 15)",6,5,0.45454545454545453
"(0, 1, 2, 4, 5)",3,2,0.4
"(0, 1, 2, 4, 12)",7,5,0.4166666666666667
"(0, 1, 2, 4, 13)",0,2,1.0
"(0, 1, 2, 5, 12)",4,3,0.42857142857142855
"(0, 1, 2, 5, 13)",0,3,1.0
"(0, 1, 2, 12, 13)",0,4,1.0
"(0, 1, 4, 5, 12)",4,1,0.2
"(0, 1, 4, 5, 13)",1,1,0.5
"(0, 1, 4, 12, 13)",2,2,0.5
"(0, 1, 5, 12, 13)",1,2,0.6666666666666666
"(0, 1, 7, 9, 12)",2,7,0.7777777777777778
"(0, 2, 4, 5, 12)",3,3,0.5
"(0, 2, 4, 5, 13)",1,2,0.6666666666666666
"(0, 2, 4, 12, 13)",3,2,0.4
"(0, 2, 5, 12, 13)",0,6,1.0
"(0, 4, 5, 12, 13)",0,1,1.0
"(1, 2, 4, 5, 12)",4,4,0.5
"(1, 2, 4, 5, 13)",2,1,0.3333333333333333
"(1, 2, 4, 6, 7)",0,5,1.0
"(1, 2, 4, 6, 12)",2,5,0.7142857142857143
"(1, 2, 4, 6, 13)",1,3,0.75
"(1, 2, 4, 7, 12)",2,4,0.6666666666666666
"(1, 2, 4, 7, 13)",2,3,0.6
"(1, 2, 4, 12, 13)",3,4,0.5714285714285714
"(1, 2, 4, 12, 15)",6,4,0.4
"(1, 2, 4, 13, 15)",0,2,1.0
"(1, 2, 5, 12, 13)",2,4,0.6666666666666666
"(1, 2, 6, 7, 12)",1,3,0.75
"(1, 2, 6, 7, 13)",0,3,1.0
"(1, 2, 6, 12, 13)",2,4,0.6666666666666666
"(1, 2, 7, 12, 13)",1,3,0.75
"(1, 2, 12, 13, 15)",2,4,0.6666666666666666
"(1, 4, 5, 12, 13)",3,1,0.25
"(1, 4, 6, 7, 12)",2,4,0.6666666666666666
"(1, 4, 6, 7, 13)",0,2,1.0
"(1, 4, 6, 12, 13)",3,2,0.4
"(1, 4, 7, 12, 13)",0,2,1.0
"(1, 4, 12, 13, 15)",2,3,0.6
"(1, 6, 7, 12, 13)",0,2,1.0
"(2, 3, 5, 12, 13)",1,1,0.5
"(2, 3, 5, 12, 15)",1,3,0.75
"(2, 3, 5, 13, 15)",0,1,1.0
"(2, 3, 12, 13, 15)",1,3,0.75
"(2, 4, 5, 12, 13)",3,2,0.4
"(2, 4, 6, 7, 12)",0,4,1.0
"(2, 4, 6, 7, 13)",0,2,1.0
"(2, 4, 6, 12, 13)",0,3,1.0
"(2, 4, 7, 12, 13)",0,2,1.0
"(2, 4, 12, 13, 15)",3,2,0.4
"(2, 5, 7, 12, 13)",0,4,1.0
"(2, 5, 12, 13, 15)",2,3,0.6
"(2, 6, 7, 12, 13)",1,2,0.6666666666666666
"(2, 7, 12, 13, 15)",1,2,0.6666666666666666
"(3, 5, 12, 13, 15)",1,1,0.5
"(4, 6, 7, 12, 13)",0,2,1.0
"(0, 1, 2, 4, 5, 12)",3,1,0.25
"(0, 1, 2, 4, 5, 13)",0,1,1.0
"(0, 1, 2, 4, 12, 13)",0,2,1.0
"(0, 1, 2, 5, 12, 13)",0,2,1.0
"(0, 1, 4, 5, 12, 13)",0,1,1.0
"(0, 2, 4, 5, 12, 13)",0,1,1.0
"(1, 2, 4, 5, 12, 13)",2,1,0.3333333333333333
"(1, 2, 4, 6, 7, 12)",0,3,1.0
"(1, 2, 4, 6, 7, 13)",0,2,1.0
"(1, 2, 4, 6, 12, 13)",0,2,1.0
"(1, 2, 4, 7, 12, 13)",0,2,1.0
"(1, 2, 4, 12, 13, 15)",0,2,1.0
"(1, 2, 6, 7, 12, 13)",0,2,1.0
"(1, 4, 6, 7, 12, 13)",0,2,1.0
"(2, 3, 5, 12, 13, 15)",0,1,1.0
"(2, 4, 6, 7, 12, 13)",0,2,1.0
"(0, 1, 2, 4, 5, 12, 13)",0,1,1.0
"(1, 2, 4, 6, 7, 12, 13)",0,2,1.0
"(4, 10, 15)",14,21,0.6
"(4, 10, 12, 15)",6,5,0.45454545454545453
"(9, 13)",62,86,0.581081081081081
"(0, 2, 9)",17,33,0.66
"(0, 2, 15)",11,16,0.5925925925925926
"(0, 9, 13)",20,22,0.5238095238095238
"(0, 9, 15)",21,34,0.6181818181818182
"(0, 13, 15)",14,18,0.5625
"(1, 9, 13)",19,27,0.5869565217391305
"(1, 10, 13)",24,21,0.4666666666666667
"(2, 9, 13)",13,19,0.59375
"(2, 10, 13)",11,9,0.45
"(6, 10, 12)",22,19,0.4634146341463415
"(6, 10, 13)",17,23,0.575
"(9, 12, 13)",28,30,0.5172413793103449
"(9, 12, 15)",23,41,0.640625
"(9, 13, 15)",19,24,0.5581395348837209
"(10, 12, 13)",26,21,0.44680851063829785
"(0, 2, 9, 12)",7,9,0.5625
"(0, 2, 9, 13)",5,6,0.5454545454545454
"(0, 2, 9, 15)",6,6,0.5
"(0, 2, 12, 15)",9,6,0.4
"(0, 2, 13, 15)",4,5,0.5555555555555556
"(0, 9, 12, 13)",11,7,0.3888888888888889
"(0, 9, 12, 15)",10,13,0.5652173913043478
"(0, 9, 13, 15)",6,7,0.5384615384615384
"(0, 12, 13, 15)",5,5,0.5
"(1, 2, 9, 13)",5,5,0.5
"(1, 2, 10, 13)",6,3,0.3333333333333333
"(1, 6, 10, 12)",6,7,0.5384615384615384
"(1, 6, 10, 13)",5,11,0.6875
"(1, 9, 12, 13)",8,11,0.5789473684210527
"(1, 9, 12, 15)",12,12,0.5
"(1, 9, 13, 15)",3,6,0.6666666666666666
"(1, 10, 12, 13)",11,7,0.3888888888888889
"(2, 6, 10, 12)",5,3,0.375
"(2, 6, 10, 13)",3,2,0.4
"(2, 9, 12, 13)",6,5,0.45454545454545453
"(2, 9, 12, 15)",8,8,0.5
"(2, 9, 13, 15)",5,5,0.5
"(2, 10, 12, 13)",4,4,0.5
"(6, 10, 12, 13)",6,3,0.3333333333333333
"(9, 12, 13, 15)",10,9,0.47368421052631576
"(0, 2, 9, 12, 13)",2,2,0.5
"(0, 2, 9, 12, 15)",5,2,0.2857142857142857
"(0, 2, 9, 13, 15)",3,1,0.25
"(0, 2, 12, 13, 15)",3,3,0.5
"(0, 9, 12, 13, 15)",4,2,0.3333333333333333
"(1, 2, 6, 10, 12)",1,1,0.5
"(1, 2, 6, 10, 13)",2,2,0.5
"(1, 2, 9, 12, 13)",3,2,0.4
"(1, 2, 9, 12, 15)",4,0,0.0
"(1, 2, 9, 13, 15)",1,0,0.0
"(1, 2, 10, 12, 13)",3,2,0.4
"(1, 6, 10, 12, 13)",2,2,0.5
"(1, 9, 12, 13, 15)",2,2,0.5
"(2, 6, 10, 12, 13)",1,1,0.5
"(2, 9, 12, 13, 15)",4,3,0.42857142857142855
"(0, 2, 9, 12, 13, 15)",2,1,0.3333333333333333
"(1, 2, 6, 10, 12, 13)",1,1,0.5
"(1, 2, 9, 12, 13, 15)",1,0,0.0
"(0, 10)",49,67,0.5775862068965517
"(3, 4)",70,82,0.5394736842105263
"(3, 10)",53,61,0.5350877192982456
"(4, 9)",78,97,0.5542857142857143
"(4, 11)",74,83,0.5286624203821656
"(5, 10)",50,62,0.5535714285714286
"(9, 10)",60,88,0.5945945945945946
"(10, 11)",51,67,0.5677966101694916
"(0, 1, 10)",17,19,0.5277777777777778
"(0, 2, 10)",11,16,0.5925925925925926
"(0, 3, 5)",18,27,0.6
"(0, 4, 9)",26,37,0.5873015873015873
"(0, 4, 10)",18,27,0.6
"(0, 5, 7)",22,35,0.6140350877192983
"(0, 5, 9)",20,36,0.6428571428571429
"(0, 5, 10)",17,22,0.5641025641025641
"(0, 7, 13)",19,24,0.5581395348837209
"(0, 9, 10)",25,35,0.5833333333333334
"(0, 10, 12)",24,28,0.5384615384615384
"(1, 2, 3)",18,24,0.5714285714285714
"(1, 2, 11)",22,28,0.56
"(1, 3, 4)",23,29,0.5576923076923077
"(1, 3, 5)",23,26,0.5306122448979592
"(1, 3, 10)",19,19,0.5
"(1, 3, 13)",18,27,0.6
"(1, 4, 9)",24,31,0.5636363636363636
