params,rez_1,rez_0,proc
"(0,)",156,225,0.5905511811023622
"(1,)",150,210,0.5833333333333334
"(2,)",130,200,0.6060606060606061
"(3,)",140,201,0.5894428152492669
"(5,)",150,210,0.5833333333333334
"(6,)",142,197,0.5811209439528023
"(7,)",133,190,0.5882352941176471
"(9,)",156,230,0.5958549222797928
"(10,)",137,180,0.5678233438485805
"(11,)",149,195,0.5668604651162791
"(13,)",167,226,0.5750636132315522
"(14,)",141,200,0.5865102639296188
"(0, 1)",71,108,0.6033519553072626
"(0, 5)",64,87,0.5761589403973509
"(0, 11)",55,76,0.5801526717557252
"(0, 13)",56,82,0.5942028985507246
"(1, 5)",76,85,0.5279503105590062
"(1, 11)",73,114,0.6096256684491979
"(1, 13)",74,109,0.5956284153005464
"(2, 11)",48,64,0.5714285714285714
"(3, 6)",54,60,0.5263157894736842
"(3, 13)",54,65,0.5462184873949579
"(5, 7)",57,88,0.6068965517241379
"(5, 9)",66,96,0.5925925925925926
"(5, 11)",64,77,0.5460992907801419
"(5, 13)",61,80,0.5673758865248227
"(5, 14)",59,78,0.5693430656934306
"(6, 13)",57,81,0.5869565217391305
"(7, 9)",66,105,0.6140350877192983
"(7, 11)",41,60,0.594059405940594
"(7, 14)",50,74,0.5967741935483871
"(9, 11)",61,90,0.5960264900662252
"(9, 14)",78,106,0.5760869565217391
"(10, 13)",56,57,0.504424778761062
"(10, 14)",45,41,0.47674418604651164
"(11, 13)",64,67,0.5114503816793893
"(11, 14)",56,65,0.5371900826446281
"(13, 14)",52,74,0.5873015873015873
"(0, 1, 5)",26,34,0.5666666666666667
"(0, 1, 11)",26,38,0.59375
"(0, 1, 13)",23,33,0.5892857142857143
"(0, 5, 11)",18,32,0.64
"(0, 5, 13)",21,27,0.5625
"(0, 11, 13)",15,21,0.5833333333333334
"(1, 5, 11)",27,34,0.5573770491803278
"(1, 5, 13)",22,22,0.5
"(1, 11, 13)",26,27,0.5094339622641509
"(3, 6, 13)",18,16,0.47058823529411764
"(5, 7, 9)",19,43,0.6935483870967742
"(5, 7, 11)",11,23,0.6764705882352942
"(5, 7, 14)",13,30,0.6976744186046512
"(5, 9, 11)",17,31,0.6458333333333334
"(5, 9, 14)",17,30,0.6382978723404256
"(5, 11, 13)",16,19,0.5428571428571428
"(5, 11, 14)",15,20,0.5714285714285714
"(7, 9, 11)",15,23,0.6052631578947368
"(7, 9, 14)",23,34,0.5964912280701754
"(7, 11, 14)",14,20,0.5882352941176471
"(9, 11, 14)",22,20,0.47619047619047616
"(10, 13, 14)",16,13,0.4482758620689655
"(0, 1, 5, 11)",7,14,0.6666666666666666
"(0, 1, 5, 13)",6,8,0.5714285714285714
"(0, 1, 11, 13)",9,10,0.5263157894736842
"(0, 5, 11, 13)",5,8,0.6153846153846154
"(1, 5, 11, 13)",5,5,0.5
"(5, 7, 9, 11)",2,11,0.8461538461538461
"(5, 7, 9, 14)",3,14,0.8235294117647058
"(5, 7, 11, 14)",3,7,0.7
"(5, 9, 11, 14)",4,6,0.6
"(7, 9, 11, 14)",9,4,0.3076923076923077
"(0, 1, 5, 11, 13)",1,2,0.6666666666666666
"(5, 7, 9, 11, 14)",1,2,0.6666666666666666
"(4,)",149,208,0.5826330532212886
"(8,)",136,213,0.6103151862464183
"(12,)",163,222,0.5766233766233766
"(15,)",129,190,0.5956112852664577
"(0, 2)",45,74,0.6218487394957983
"(0, 8)",53,96,0.6442953020134228
"(0, 9)",75,110,0.5945945945945946
"(0, 12)",82,101,0.5519125683060109
"(0, 15)",56,80,0.5882352941176471
"(1, 2)",66,91,0.5796178343949044
