cols,vals,sel_idx,count_cols,rez_1,rez_0,proc,tot_rows,rez,target_ind
[1],[0],"[27, 28, 29, 30]",1,0,2,1.0,2,0,27
[4],[0],"[27, 28, 29, 30]",1,0,3,1.0,3,0,27
[7],[0],"[27, 28, 29, 30]",1,0,3,1.0,3,0,27
[9],[0],"[27, 28, 29, 30]",1,0,3,1.0,3,0,27
[10],[0],"[27, 28, 29, 30]",1,0,2,1.0,2,0,27
[11],[0],"[27, 28, 29, 30]",1,0,3,1.0,3,0,27
[13],[0],"[27, 28, 29, 30]",1,0,3,1.0,3,0,27
"[1, 11]","[0, 0]","[27, 28, 29, 30]",2,0,2,1.0,2,0,27
"[4, 7]","[0, 0]","[27, 28, 29, 30]",2,0,2,1.0,2,0,27
"[4, 9]","[0, 0]","[27, 28, 29, 30]",2,0,2,1.0,2,0,27
"[4, 10]","[0, 0]","[27, 28, 29, 30]",2,0,2,1.0,2,0,27
"[4, 11]","[0, 0]","[27, 28, 29, 30]",2,0,2,1.0,2,0,27
"[7, 9]","[0, 0]","[27, 28, 29, 30]",2,0,3,1.0,3,0,27
"[7, 11]","[0, 0]","[27, 28, 29, 30]",2,0,2,1.0,2,0,27
"[7, 13]","[0, 0]","[27, 28, 29, 30]",2,0,2,1.0,2,0,27
"[9, 11]","[0, 0]","[27, 28, 29, 30]",2,0,2,1.0,2,0,27
"[9, 13]","[0, 0]","[27, 28, 29, 30]",2,0,2,1.0,2,0,27
"[4, 7, 9]","[0, 0, 0]","[27, 28, 29, 30]",3,0,2,1.0,2,0,27
"[7, 9, 11]","[0, 0, 0]","[27, 28, 29, 30]",3,0,2,1.0,2,0,27
"[7, 9, 13]","[0, 0, 0]","[27, 28, 29, 30]",3,0,2,1.0,2,0,27
[0],[0],"[27, 28, 29, 30]",1,0,2,1.0,2,0,28
[2],[0],"[27, 28, 29, 30]",1,0,3,1.0,3,0,28
[3],[1],"[27, 28, 29, 30]",1,0,3,1.0,3,0,28
[4],[0],"[27, 28, 29, 30]",1,0,3,1.0,3,0,28
[5],[0],"[27, 28, 29, 30]",1,0,2,1.0,2,0,28
[6],[1],"[27, 28, 29, 30]",1,0,2,1.0,2,0,28
[7],[1],"[27, 28, 29, 30]",1,0,2,1.0,2,0,28
[9],[0],"[27, 28, 29, 30]",1,0,3,1.0,3,0,28
[10],[0],"[27, 28, 29, 30]",1,0,2,1.0,2,0,28
[11],[1],"[27, 28, 29, 30]",1,0,2,1.0,2,0,28
[12],[0],"[27, 28, 29, 30]",1,0,3,1.0,3,0,28
[13],[0],"[27, 28, 29, 30]",1,0,3,1.0,3,0,28
"[2, 3]","[0, 1]","[27, 28, 29, 30]",2,0,2,1.0,2,0,28
"[2, 7]","[0, 1]","[27, 28, 29, 30]",2,0,2,1.0,2,0,28
"[2, 13]","[0, 0]","[27, 28, 29, 30]",2,0,2,1.0,2,0,28
"[3, 9]","[1, 0]","[27, 28, 29, 30]",2,0,2,1.0,2,0,28
"[3, 11]","[1, 1]","[27, 28, 29, 30]",2,0,2,1.0,2,0,28
"[3, 13]","[1, 0]","[27, 28, 29, 30]",2,0,3,1.0,3,0,28
"[4, 5]","[0, 0]","[27, 28, 29, 30]",2,0,2,1.0,2,0,28
"[4, 6]","[0, 1]","[27, 28, 29, 30]",2,0,2,1.0,2,0,28
