params,rez_1,rez_0,proc
"(0,)",150,195,0.5652173913043478
"(1,)",155,197,0.5596590909090909
"(2,)",121,169,0.5827586206896552
"(4,)",140,203,0.5918367346938775
"(5,)",132,202,0.6047904191616766
"(7,)",135,174,0.5631067961165048
"(8,)",141,203,0.5901162790697675
"(10,)",124,181,0.5934426229508196
"(15,)",119,147,0.5526315789473685
"(0, 1)",53,63,0.5431034482758621
"(0, 2)",48,57,0.5428571428571428
"(0, 4)",59,84,0.5874125874125874
"(0, 5)",56,85,0.6028368794326241
"(0, 7)",46,58,0.5576923076923077
"(0, 8)",52,67,0.5630252100840336
"(0, 10)",46,60,0.5660377358490566
"(0, 15)",43,50,0.5376344086021505
"(1, 4)",58,85,0.5944055944055944
"(1, 5)",44,74,0.6271186440677966
"(2, 4)",45,72,0.6153846153846154
"(2, 5)",37,73,0.6636363636363637
"(2, 8)",44,62,0.5849056603773585
"(4, 5)",50,81,0.6183206106870229
"(4, 7)",50,62,0.5535714285714286
"(4, 8)",61,104,0.6303030303030303
"(4, 10)",47,70,0.5982905982905983
"(4, 15)",49,61,0.5545454545454546
"(5, 7)",36,61,0.6288659793814433
"(5, 8)",42,72,0.631578947368421
"(5, 10)",47,62,0.5688073394495413
"(5, 15)",37,57,0.6063829787234043
"(0, 1, 4)",19,25,0.5681818181818182
"(0, 1, 5)",12,24,0.6666666666666666
"(0, 2, 4)",11,21,0.65625
"(0, 2, 5)",15,25,0.625
"(0, 2, 8)",13,20,0.6060606060606061
"(0, 4, 5)",16,29,0.6444444444444445
"(0, 4, 7)",13,12,0.48
"(0, 4, 8)",16,32,0.6666666666666666
"(0, 4, 10)",14,20,0.5882352941176471
"(0, 4, 15)",12,13,0.52
"(0, 5, 7)",8,13,0.6190476190476191
"(0, 5, 8)",13,23,0.6388888888888888
"(0, 5, 10)",13,16,0.5517241379310345
"(0, 5, 15)",12,23,0.6571428571428571
"(1, 4, 5)",11,28,0.717948717948718
"(2, 4, 5)",11,32,0.7441860465116279
"(2, 4, 8)",13,29,0.6904761904761905
"(2, 5, 8)",9,27,0.75
"(4, 5, 7)",13,20,0.6060606060606061
"(4, 5, 8)",18,30,0.625
"(4, 5, 10)",11,24,0.6857142857142857
"(4, 5, 15)",13,20,0.6060606060606061
"(0, 1, 4, 5)",1,8,0.8888888888888888
"(0, 2, 4, 5)",4,11,0.7333333333333333
"(0, 2, 4, 8)",2,12,0.8571428571428571
"(0, 2, 5, 8)",4,9,0.6923076923076923
"(0, 4, 5, 7)",1,3,0.75
"(0, 4, 5, 8)",6,11,0.6470588235294118
"(0, 4, 5, 10)",1,5,0.8333333333333334
"(0, 4, 5, 15)",3,6,0.6666666666666666
"(2, 4, 5, 8)",3,13,0.8125
"(0, 2, 4, 5, 8)",1,7,0.875
"(6,)",137,205,0.5994152046783626
"(9,)",156,219,0.584
"(12,)",150,212,0.585635359116022
