HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
Crystal Palace,Everton,2020-09-26,1,0,0,0,1,0,2,1,2,1,3,1,0,0,1,0,1,0,2,0
West Brom,Chelsea,2020-09-26,0,0,0,3,1,2,1,3,0,0,0,2,1,0,2,1,3,0,0,3
Sheffield United,Leeds,2020-09-27,0,2,0,0,0,0,0,1,2,1,2,2,2,3,1,1,0,0,0,1
Tottenham,Newcastle,2020-09-27,0,0,0,1,1,1,4,1,0,2,0,1,0,0,2,0,1,0,0,1
West Ham,Wolves,2020-09-27,0,0,0,2,1,1,0,1,0,2,1,1,2,0,0,0,1,3,0,0
Liverpool,Arsenal,2020-09-28,3,2,1,1,0,0,2,0,1,1,1,0,1,0,2,0,2,1,1,0
Chelsea,Crystal Palace,2020-10-03,0,0,0,2,0,3,3,0,1,2,0,0,1,0,2,1,0,4,0,0
Everton,Brighton,2020-10-03,2,1,3,1,2,1,0,0,1,1,1,2,2,0,1,0,2,2,1,1
Leeds,Man City,2020-10-03,2,1,2,2,0,0,1,0,1,1,1,4,2,0,1,1,0,1,1,0
Newcastle,Burnley,2020-10-03,0,2,0,1,0,1,1,0,0,1,0,0,1,1,1,3,1,2,0,1
Leicester,West Ham,2020-10-04,1,1,3,1,1,1,4,1,1,0,3,0,1,1,0,1,0,0,2,1
Southampton,West Brom,2020-10-04,1,1,1,4,1,0,0,0,3,0,0,3,1,2,1,3,1,1,0,0
Arsenal,Sheffield United,2020-10-04,1,1,1,0,1,2,0,1,0,0,0,1,0,0,0,1,0,2,0,1
Wolves,Fulham,2020-10-04,0,2,1,1,0,1,0,3,0,2,0,1,1,2,2,2,0,1,0,0
Man United,Tottenham,2020-10-04,0,1,1,2,1,1,2,1,1,0,0,1,1,1,4,1,1,0,4,2
Aston Villa,Liverpool,2020-10-04,0,0,1,0,2,0,1,0,2,1,1,0,0,0,2,0,4,3,1,1
Everton,Liverpool,2020-10-17,2,1,2,1,2,1,0,0,2,1,1,0,1,4,1,3,1,1,1,1
Chelsea,Southampton,2020-10-17,0,0,4,0,0,3,3,0,1,0,1,0,1,0,0,0,2,1,1,2
Man City,Arsenal,2020-10-17,1,1,1,4,1,0,0,1,0,0,2,1,1,2,0,1,1,0,0,0
Newcastle,Man United,2020-10-17,1,0,2,1,0,1,1,0,1,4,0,2,1,1,2,1,1,0,1,3
Sheffield United,Fulham,2020-10-18,0,0,0,1,0,0,1,2,0,2,0,1,0,0,0,1,0,1,0,1
Crystal Palace,Brighton,2020-10-18,1,2,0,0,0,0,0,4,1,1,1,2,1,2,1,2,1,0,0,1
Tottenham,West Ham,2020-10-18,1,0,0,1,4,1,2,0,1,0,3,0,2,0,1,0,3,0,0,3
Leicester,Aston Villa,2020-10-18,0,2,0,1,1,1,4,1,4,1,3,1,2,0,1,0,0,0,0,1
West Brom,Burnley,2020-10-19,3,0,0,3,0,1,0,1,0,1,0,0,0,1,1,2,0,0,0,0
Leeds,Wolves,2020-10-19,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,1
Aston Villa,Leeds,2020-10-23,4,1,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3
West Ham,Man City,2020-10-24,1,0,3,0,0,3,3,0,1,0,0,0,1,0,0,1,1,0,0,1
Fulham,Crystal Palace,2020-10-24,0,2,0,1,0,0,1,1,1,0,0,1,0,0,0,4,0,1,1,1
Man United,Chelsea,2020-10-24,1,4,0,2,1,1,3,0,2,1,1,2,0,3,3,0,0,0,0,0
Liverpool,Sheffield United,2020-10-24,2,1,1,0,1,1,1,1,0,0,1,1,0,0,1,2,1,1,1,0
Southampton,Everton,2020-10-25,1,0,1,0,1,2,2,1,1,1,1,1,2,1,0,0,2,0,0,0
Wolves,Newcastle,2020-10-25,0,0,1,0,0,0,1,0,1,1,0,3,0,1,1,0,0,1,0,1
