HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
Huddersfield,Fulham,2019-08-16,1,2,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,2
Barnsley,Charlton,2019-08-17,1,0,0,0,0,1,0,1,1,1,2,0,1,0,1,1,1,1,1,1
Blackburn,Middlesbrough,2019-08-17,0,1,1,1,0,1,0,1,0,0,0,1,2,2,1,1,1,0,0,0
Brentford,Hull,2019-08-17,0,1,0,0,0,0,1,0,2,0,0,1,1,0,0,2,0,1,0,1
Bristol City,QPR,2019-08-17,0,1,1,2,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0
Luton,West Brom,2019-08-17,2,2,1,1,0,0,1,2,0,0,1,1,2,1,0,0,1,0,0,2
Millwall,Sheffield Weds,2019-08-17,1,0,0,0,0,0,1,1,1,0,1,0,1,0,2,1,1,0,0,0
Nott'm Forest,Birmingham,2019-08-17,1,2,0,0,0,0,1,1,0,0,1,1,1,0,0,0,2,1,0,0
Stoke,Derby,2019-08-17,0,1,1,1,1,1,0,2,0,0,0,0,2,1,0,0,1,1,1,1
Swansea,Preston,2019-08-17,0,1,2,0,0,0,0,0,2,0,1,0,0,1,0,0,1,2,1,1
Wigan,Leeds,2019-08-17,0,1,3,1,0,2,0,1,0,0,1,1,1,0,2,1,0,0,1,1
Reading,Cardiff,2019-08-18,0,1,1,2,0,2,1,0,0,0,2,1,1,0,1,3,2,1,0,0
Birmingham,Barnsley,2019-08-20,0,0,1,1,0,2,0,1,1,1,1,1,0,1,0,1,0,2,0,0
Derby,Bristol City,2019-08-20,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,2,0
Hull,Blackburn,2019-08-20,2,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1
Middlesbrough,Wigan,2019-08-20,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,1,1,0,0,0
Sheffield Weds,Luton,2019-08-20,1,0,1,0,0,1,0,0,1,0,0,2,0,0,1,2,0,1,0,0
Cardiff,Huddersfield,2019-08-21,0,0,2,1,0,2,0,1,0,0,1,2,0,0,1,1,1,1,0,1
Charlton,Nott'm Forest,2019-08-21,1,1,2,0,1,1,1,1,2,0,1,0,0,0,1,1,1,0,0,1
Fulham,Millwall,2019-08-21,1,0,1,0,0,0,2,1,1,0,0,0,0,0,1,1,2,2,0,0
Leeds,Brentford,2019-08-21,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
Preston,Stoke,2019-08-21,2,0,1,0,1,1,1,2,1,1,1,1,1,1,0,2,2,1,0,1
QPR,Swansea,2019-08-21,0,0,1,1,0,1,0,1,1,1,2,1,0,0,0,0,0,1,1,2
West Brom,Reading,2019-08-21,0,0,1,1,0,1,2,0,2,0,1,0,0,2,1,0,0,1,0,1
Derby,West Brom,2019-08-24,0,2,1,0,1,1,1,1,0,0,1,1,0,1,2,0,1,0,0,1
Barnsley,Luton,2019-08-24,1,1,1,1,0,0,0,2,1,0,0,2,0,0,0,1,0,1,3,0
Blackburn,Cardiff,2019-08-24,1,0,0,0,0,0,1,0,1,0,1,1,0,2,0,1,0,0,0,0
