HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
Huddersfield,Nott'm Forest,2020-09-25,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,2,0,1,0,0
Watford,Luton,2020-09-26,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0
Wycombe,Swansea,2020-09-26,0,0,0,1,0,3,0,2,0,0,0,0,0,0,1,0,0,0,2,0
Barnsley,Coventry,2020-09-26,0,0,0,1,0,0,0,2,1,1,2,1,1,1,0,1,0,0,0,0
Birmingham,Rotherham,2020-09-26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
Cardiff,Reading,2020-09-26,0,2,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,1,0,2
Derby,Blackburn,2020-09-26,0,2,0,0,0,1,1,1,3,0,2,0,1,1,1,2,0,0,3,1
Millwall,Brentford,2020-09-26,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,1,0
Preston,Stoke,2020-09-26,0,0,0,1,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
QPR,Middlesbrough,2020-09-26,0,0,2,0,1,1,1,2,0,1,1,0,0,1,0,0,1,0,1,0
Bristol City,Sheffield Weds,2020-09-27,1,1,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0
Bournemouth,Norwich,2020-09-27,1,1,2,1,1,0,0,1,1,2,1,0,0,0,1,0,1,0,0,0
Coventry,Bournemouth,2020-10-02,1,1,2,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,2
Norwich,Derby,2020-10-03,1,2,1,0,0,1,0,0,0,3,0,1,0,1,1,1,0,0,0,1
