HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
Burnley,Everton,2019-10-05,2,0,0,0,0,1,2,1,1,1,0,2,1,1,0,2,0,1,0,0
Liverpool,Leicester,2019-10-05,2,1,1,0,0,0,1,0,1,0,4,0,0,1,0,0,1,1,0,1
Norwich,Aston Villa,2019-10-05,2,1,1,1,0,1,0,1,1,0,1,2,1,0,1,3,0,1,2,3
Watford,Sheffield United,2019-10-05,0,2,2,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
West Ham,Crystal Palace,2019-10-05,1,0,1,0,1,1,1,1,1,0,1,0,0,4,0,0,0,1,0,2
Arsenal,Bournemouth,2019-10-06,0,1,3,1,0,1,1,0,1,1,1,1,2,0,1,1,1,0,0,0
Man City,Wolves,2019-10-06,5,0,3,0,1,1,2,0,1,0,1,0,0,0,1,1,0,0,0,2
Southampton,Chelsea,2019-10-06,0,2,1,1,1,2,0,0,0,0,2,0,3,0,2,2,1,0,3,1
Newcastle,Man United,2019-10-06,0,0,0,0,0,1,0,4,1,0,0,1,0,1,0,1,0,1,0,0
Everton,West Ham,2019-10-19,1,1,0,2,0,0,0,1,0,0,1,2,1,1,1,1,1,1,0,0
Aston Villa,Brighton,2019-10-19,1,0,1,2,2,0,3,1,2,0,1,0,0,0,0,2,1,1,1,0
Bournemouth,Norwich,2019-10-19,1,1,1,1,0,1,0,0,0,2,1,3,0,1,0,1,0,0,0,0
Chelsea,Newcastle,2019-10-19,0,0,2,0,3,1,1,0,0,0,1,0,0,1,0,4,0,1,0,0
Leicester,Burnley,2019-10-19,1,0,4,0,0,1,1,1,0,0,1,0,0,1,2,1,1,1,1,0
Tottenham,Watford,2019-10-19,2,1,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,1,0
Wolves,Southampton,2019-10-19,1,0,1,0,0,0,2,0,1,3,0,1,1,2,0,0,0,1,0,1
Crystal Palace,Man City,2019-10-19,1,0,1,0,0,0,2,1,0,0,0,2,1,1,2,0,0,0,2,0
Man United,Liverpool,2019-10-20,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1
Sheffield United,Arsenal,2019-10-21,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
Southampton,Leicester,2019-10-25,1,3,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,5,4
Man City,Aston Villa,2019-10-26,0,0,0,2,2,0,0,0,1,1,1,0,2,0,3,1,0,3,0,0
