HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
Man City,Arsenal,2021-08-28,2,0,3,0,0,0,0,1,0,2,0,0,0,1,0,1,3,2,0,0
Aston Villa,Brentford,2021-08-28,1,0,1,0,0,2,2,1,1,0,1,0,0,0,0,0,1,0,1,0
Brighton,Everton,2021-08-28,2,0,0,0,0,1,2,0,0,1,3,0,1,1,1,1,0,0,1,1
Newcastle,Southampton,2021-08-28,2,1,0,3,0,1,0,1,1,0,0,1,1,0,0,3,0,2,0,2
Norwich,Leicester,2021-08-28,0,1,0,2,0,2,0,3,1,0,0,0,0,1,1,3,1,0,1,1
West Ham,Crystal Palace,2021-08-28,1,0,3,1,1,2,3,0,0,0,0,0,0,2,0,1,1,1,0,2
Liverpool,Chelsea,2021-08-28,1,0,1,0,1,0,2,0,2,0,1,0,2,0,0,0,1,0,1,0
Burnley,Leeds,2021-08-29,1,0,0,2,0,1,0,1,1,1,1,1,0,1,1,4,0,1,0,1
Tottenham,Watford,2021-08-29,0,0,1,0,1,0,0,0,2,0,1,2,0,2,0,0,1,0,0,0
Wolves,Man United,2021-08-29,0,1,0,0,0,1,0,0,1,0,4,1,0,1,1,0,0,0,0,1
Crystal Palace,Tottenham,2021-09-11,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,3,0,0
Arsenal,Norwich,2021-09-11,0,2,0,0,0,3,0,2,1,1,0,1,0,2,0,3,0,1,0,0
Brentford,Brighton,2021-09-11,1,0,1,0,1,1,0,0,0,1,0,1,0,1,2,0,0,0,0,1
Leicester,Man City,2021-09-11,1,0,0,0,1,1,1,0,3,0,2,0,0,0,0,1,0,0,0,1
Man United,Newcastle,2021-09-11,1,0,4,1,0,0,1,0,0,0,2,2,0,1,0,1,1,3,0,1
Southampton,West Ham,2021-09-11,1,0,0,1,0,0,2,2,1,0,1,2,1,2,3,0,0,0,0,0
Watford,Wolves,2021-09-11,2,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2
Chelsea,Aston Villa,2021-09-11,2,0,1,0,1,1,0,0,1,1,0,0,0,2,2,1,1,2,0,0
Leeds,Liverpool,2021-09-12,1,1,1,1,0,0,1,1,1,1,0,0,1,0,2,0,0,0,1,2
Everton,Burnley,2021-09-13,0,1,3,0,1,0,1,0,0,0,1,1,0,1,0,1,0,3,0,1
Newcastle,Leeds,2021-09-17,0,0,2,2,0,1,1,3,0,1,0,2,0,0,1,1,1,0,1,0
Wolves,Brentford,2021-09-18,0,0,0,1,0,0,2,0,0,0,0,1,1,1,0,0,0,0,2,0
Burnley,Arsenal,2021-09-18,0,0,1,1,0,0,1,3,0,0,1,0,0,3,0,2,0,0,1,0
Liverpool,Crystal Palace,2021-09-18,1,1,0,0,1,0,2,0,0,0,3,0,0,1,2,1,1,2,0,0
Man City,Southampton,2021-09-18,3,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0
Norwich,Watford,2021-09-18,1,1,0,1,0,0,0,1,0,0,0,2,0,1,0,0,1,0,1,2
Aston Villa,Everton,2021-09-18,1,1,0,0,0,1,0,2,0,0,3,1,1,0,1,0,0,3,0,0
Brighton,Leicester,2021-09-19,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1
West Ham,Man United,2021-09-19,1,0,1,2,0,0,0,0,1,0,3,1,0,0,1,0,1,0,1,1
Tottenham,Chelsea,2021-09-19,1,0,0,0,0,0,0,3,1,0,2,0,1,1,0,0,0,0,0,3
Chelsea,Man City,2021-09-25,1,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1
Man United,Aston Villa,2021-09-25,1,0,3,1,1,1,1,0,0,0,3,0,0,1,0,2,0,0,0,1
Everton,Norwich,2021-09-25,0,0,3,1,0,0,0,3,1,1,0,2,0,0,0,1,1,1,0,0
Leeds,West Ham,2021-09-25,0,1,0,2,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,2
Leicester,Burnley,2021-09-25,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,3,1,1,2,0
Watford,Newcastle,2021-09-25,0,0,0,2,1,1,2,0,1,1,0,0,0,1,1,3,0,1,1,0
Brentford,Liverpool,2021-09-25,0,0,0,1,2,0,0,0,1,0,2,0,1,0,2,0,1,2,1,2
