HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
Barnsley,Luton,2021-08-17,1,0,0,0,0,0,1,1,1,0,2,0,0,2,2,1,0,0,1,0
Blackpool,Coventry,2021-08-17,0,0,0,2,0,1,1,0,0,1,2,0,0,1,0,0,0,0,1,0
Huddersfield,Preston,2021-08-17,1,3,0,2,1,1,0,0,1,1,0,3,0,1,1,1,0,1,0,0
Millwall,Fulham,2021-08-17,0,0,1,1,1,1,0,0,1,0,0,1,3,1,2,0,0,1,2,0
Peterboro,Cardiff,2021-08-17,0,0,2,1,0,1,0,2,0,0,1,1,0,0,2,0,0,2,0,2
Swansea,Stoke,2021-08-17,0,0,0,0,0,1,1,1,2,1,1,1,0,0,0,0,0,1,1,2
Reading,Bristol City,2021-08-17,1,0,1,1,1,2,1,1,1,0,0,1,0,1,1,1,1,1,2,1
Birmingham,Bournemouth,2021-08-18,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,2
Hull,Derby,2021-08-18,0,1,0,2,1,1,3,0,1,1,0,0,0,0,1,2,0,0,0,1
Middlesbrough,QPR,2021-08-18,1,0,1,1,0,1,1,0,1,1,0,0,1,0,2,0,1,1,0,3
Nott'm Forest,Blackburn,2021-08-18,0,1,1,1,1,0,0,2,1,0,1,1,0,0,1,1,0,1,0,2
West Brom,Sheffield United,2021-08-18,2,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,1,3,0,0
Bristol City,Swansea,2021-08-20,1,0,0,1,2,1,1,1,0,1,1,2,0,1,1,1,0,0,1,0
QPR,Barnsley,2021-08-21,1,1,0,0,0,1,3,1,0,1,0,0,0,0,1,1,0,2,2,0
Blackburn,West Brom,2021-08-21,1,0,1,1,0,0,2,1,1,0,3,0,1,1,1,1,0,1,2,0
Bournemouth,Blackpool,2021-08-21,1,1,1,1,0,0,2,0,0,1,0,0,0,1,1,0,2,0,0,2
Cardiff,Millwall,2021-08-21,0,0,1,1,0,0,2,2,0,2,1,0,1,1,0,0,0,3,0,1
Coventry,Reading,2021-08-21,0,1,2,0,1,0,0,0,1,2,1,1,1,2,1,1,0,2,1,0
Derby,Middlesbrough,2021-08-21,1,1,0,0,0,0,1,0,1,0,1,3,0,1,1,0,0,0,0,0
Fulham,Hull,2021-08-21,1,0,0,1,2,0,0,1,0,0,0,1,1,1,3,0,2,0,0,0
Luton,Birmingham,2021-08-21,1,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,3
Preston,Peterboro,2021-08-21,1,1,0,3,0,0,0,1,0,0,2,2,0,1,0,2,1,0,0,0
Sheffield United,Huddersfield,2021-08-21,0,1,0,0,0,1,0,3,0,0,1,0,1,1,0,0,0,1,0,2
Stoke,Nott'm Forest,2021-08-21,2,1,1,1,1,0,2,1,0,0,1,2,1,0,0,2,0,1,0,0
Cardiff,Bristol City,2021-08-28,0,0,3,1,0,0,2,2,0,1,0,0,2,1,1,1,0,1,1,1
Derby,Nott'm Forest,2021-08-28,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,0,1
Barnsley,Birmingham,2021-08-28,0,1,0,0,2,0,0,2,0,0,0,2,2,0,3,0,1,0,1,0
Fulham,Stoke,2021-08-28,2,0,0,0,2,0,0,1,0,0,1,0,1,0,2,1,1,2,0,0
Huddersfield,Reading,2021-08-28,0,0,1,0,0,0,2,1,1,2,1,1,1,0,0,2,1,3,0,0
Hull,Bournemouth,2021-08-28,0,0,0,1,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0
Luton,Sheffield United,2021-08-28,0,2,0,3,1,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0
Middlesbrough,Blackburn,2021-08-28,1,0,1,3,0,0,0,0,0,2,1,0,0,0,2,1,1,0,1,0
Millwall,Blackpool,2021-08-28,0,2,1,0,0,0,1,3,0,1,0,0,0,2,2,0,0,2,0,1
Preston,Swansea,2021-08-28,1,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,2,1,1,0
QPR,Coventry,2021-08-28,0,2,2,0,0,1,3,1,0,1,2,0,1,0,0,0,0,2,0,0
Peterboro,West Brom,2021-08-28,0,0,2,2,0,1,0,0,1,0,3,0,2,0,0,1,0,0,0,1
Birmingham,Derby,2021-09-10,0,0,0,2,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
Blackburn,Luton,2021-09-11,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2
Blackpool,Fulham,2021-09-11,0,1,0,0,0,0,1,2,1,0,2,0,2,0,0,1,0,1,0,0
Bournemouth,Barnsley,2021-09-11,2,0,0,2,0,0,0,0,1,1,0,0,2,0,0,2,1,2,0,0
Bristol City,Preston,2021-09-11,0,1,0,0,1,0,1,1,2,1,1,0,0,0,0,1,0,0,0,0
Coventry,Middlesbrough,2021-09-11,0,1,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0
Reading,QPR,2021-09-11,1,2,1,1,0,1,0,3,0,0,2,0,0,1,3,1,1,2,1,2
Sheffield United,Peterboro,2021-09-11,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,5,1,1
Stoke,Huddersfield,2021-09-11,0,0,1,0,0,1,0,2,1,0,3,0,0,0,2,1,0,2,0,1
Swansea,Hull,2021-09-11,0,1,1,2,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0
West Brom,Millwall,2021-09-11,1,0,3,0,0,0,1,0,0,0,2,1,0,0,1,3,0,1,0,1
Nott'm Forest,Cardiff,2021-09-12,0,0,1,2,0,1,1,0,0,1,1,1,0,0,2,2,1,0,0,2
Blackburn,Hull,2021-09-14,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Blackpool,Huddersfield,2021-09-14,0,0,1,0,0,0,1,2,1,0,3,0,0,0,1,2,0,0,0,3
Bournemouth,QPR,2021-09-14,1,0,2,0,0,0,0,0,0,0,2,0,1,1,2,2,2,0,0,1
Sheffield United,Preston,2021-09-14,1,1,5,1,0,0,0,0,2,1,1,0,0,0,0,0,1,1,1,1
Reading,Peterboro,2021-09-14,1,1,2,2,0,1,0,3,0,0,0,1,1,1,1,5,0,3,0,1
West Brom,Derby,2021-09-14,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
Birmingham,Fulham,2021-09-15,1,0,1,0,1,1,0,0,1,0,2,0,0,0,0,1,0,1,2,2
Bristol City,Luton,2021-09-15,0,0,0,0,1,0,1,1,0,0,0,0,0,2,2,0,0,1,0,1
